version,id,name,tier,rarity,types,pe,ability,moves,img
Galaxy V1,2-1-067,Nidoqueen,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-067_f.jpg
Galaxy V1,2-1-068,Nidoran♂,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-068_f.jpg
Galaxy V1,2-1-069,Nidorino,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-069_f.jpg
Galaxy V1,2-1-070,Nidoking,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-070_f.jpg
Galaxy V1,R-2-1,Pikachu,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_R-2-1_f.jpg
Galaxy V1,R-2-2,Charizard,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_R-2-2_f.jpg
Galaxy V1,R-2-3,Gengar,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_R-2-3_f.jpg
Stardust V4,1-4-001,Dialga,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-001_f.jpg
Stardust V4,1-4-002,Palkia,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-002_f.jpg
Stardust V4,1-4-003,Xerneas,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-003_f.jpg
Stardust V4,1-4-004,Yveltal,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-004_f.jpg
Stardust V4,1-4-005,Calyrex,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-005_f.jpg
Stardust V4,1-4-006,Calyrex,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-006_f.jpg
Stardust V4,1-4-007,Mimikyu,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-007_f.jpg
Stardust V4,1-4-008,Kyurem,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-008_f.jpg
Stardust V4,1-4-009,Kyurem,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-009_f.jpg
Stardust V4,1-4-010,Rayquaza,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-010_f.jpg
Stardust V4,1-4-011,Aggron,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-011_f.jpg
Stardust V4,1-4-012,Meganium,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-012_f.jpg
Stardust V4,1-4-013,Typhlosion,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-013_f.jpg
Stardust V4,1-4-014,Feraligatr,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-014_f.jpg
Stardust V4,1-4-015,Goodra,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-015_f.jpg
Stardust V4,1-4-016,Corviknight,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-016_f.jpg
Stardust V4,1-4-017,Runerigus,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-017_f.jpg
Stardust V4,1-4-018,Machamp,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-018_f.jpg
Stardust V4,1-4-019,Gardevoir,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-019_f.jpg
Stardust V4,1-4-020,Obstagoon,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-020_f.jpg
Stardust V4,1-4-021,Regieleki,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-021_f.jpg
Stardust V4,1-4-022,Regidrago,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-022_f.jpg
Stardust V4,1-4-023,Iron Treads,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-023_f.jpg
Stardust V4,1-4-024,Copperajah,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-024_f.jpg
Stardust V4,1-4-025,Talonflame,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-025_f.jpg
Stardust V4,1-4-026,Ceruledge,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-026_f.jpg
Stardust V4,1-4-027,Baxcalibur,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-027_f.jpg
Stardust V4,1-4-028,Chikorita,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-028_f.jpg
Stardust V4,1-4-029,Bayleef,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-029_f.jpg
Stardust V4,1-4-030,Meganium,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-030_f.jpg
Stardust V4,1-4-031,Cyndaquil,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-031_f.jpg
Stardust V4,1-4-032,Quilava,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-032_f.jpg
Stardust V4,1-4-033,Typhlosion,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-033_f.jpg
Stardust V4,1-4-034,Totodile,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-034_f.jpg
Stardust V4,1-4-035,Croconaw,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-035_f.jpg
Stardust V4,1-4-036,Feraligatr,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-036_f.jpg
Stardust V4,1-4-037,Dreepy,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-037_f.jpg
Stardust V4,1-4-038,Drakloak,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-038_f.jpg
Stardust V4,1-4-039,Dragapult,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-039_f.jpg
Stardust V4,1-4-040,Sinistea,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-040_f.jpg
Stardust V4,1-4-041,Polteageist,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-041_f.jpg
Stardust V4,1-4-042,Drampa,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-042_f.jpg
Stardust V4,1-4-043,Elekid,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-043_f.jpg
Stardust V4,1-4-044,Electabuzz,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-044_f.jpg
Stardust V4,1-4-045,Electivire,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-045_f.jpg
Stardust V4,1-4-046,Alolan Vulpix,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-046_f.jpg
Stardust V4,1-4-047,Alolan Ninetales,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-047_f.jpg
Stardust V4,1-4-048,Wooloo,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-048_f.jpg
Stardust V4,1-4-049,Dubwool,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-049_f.jpg
Stardust V4,1-4-050,Deino,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-050_f.jpg
Stardust V4,1-4-051,Zweilous,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-051_f.jpg
Stardust V4,1-4-052,Hydreigon,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-052_f.jpg
Stardust V4,1-4-053,Woobat,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-053_f.jpg
Stardust V4,1-4-054,Swoobat,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-054_f.jpg
Stardust V4,1-4-055,Machop,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-055_f.jpg
Stardust V4,1-4-056,Machoke,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-056_f.jpg
Stardust V4,1-4-057,Machamp,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-057_f.jpg
Stardust V4,1-4-058,Murkrow,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-058_f.jpg
Stardust V4,1-4-059,Honchkrow,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-059_f.jpg
Stardust V4,1-4-060,Hatenna,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-060_f.jpg
Stardust V4,1-4-061,Hattrem,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-061_f.jpg
Stardust V4,1-4-062,Hatterene,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-062_f.jpg
Stardust V4,1-4-063,Swinub,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-063_f.jpg
Stardust V4,1-4-064,Piloswine,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-064_f.jpg
Stardust V4,1-4-065,Mamoswine,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-065_f.jpg
Stardust V4,1-4-066,Fletchling,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-066_f.jpg
Stardust V4,1-4-067,Fletchinder,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-067_f.jpg
Stardust V4,1-4-068,Talonflame,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-068_f.jpg
Stardust V4,1-4-069,Noibat,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-069_f.jpg
Stardust V4,1-4-070,Noivern,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver4/pm_en_1-4-070_f.jpg
Stardust V4,R-1-1,Pikachu,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_R-1-1_f.jpg
Stardust V4,R-1-2,Lucario,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_R-1-2_f.jpg
Stardust V4,R-1-3,Snorlax,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_R-1-3_f.jpg
Stardust V3,1-3-001,Lugia,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-001_f.jpg
Stardust V3,1-3-002,Ho-Oh,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-002_f.jpg
Stardust V3,1-3-003,Solgaleo,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-003_f.jpg
Stardust V3,1-3-004,Lunala,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-004_f.jpg
Stardust V3,1-3-005,Greninja,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-005_f.jpg
Stardust V3,1-3-006,Zeraora,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-006_f.jpg
Stardust V3,1-3-007,Eternatus,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-007_f.jpg
Stardust V3,1-3-008,Keldeo,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-008_f.jpg
Stardust V3,1-3-009,Grimmsnarl,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-009_f.jpg
Stardust V3,1-3-010,Zygarde,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-010_f.jpg
Stardust V3,1-3-011,Sceptile,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-011_f.jpg
Stardust V3,1-3-012,Blaziken,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-012_f.jpg
Stardust V3,1-3-013,Swampert,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-013_f.jpg
Stardust V3,1-3-014,Chandelure,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-014_f.jpg
Stardust V3,1-3-015,Grimmsnarl,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-015_f.jpg
Stardust V3,1-3-016,Nidoqueen,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-016_f.jpg
Stardust V3,1-3-017,Pidgeot,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-017_f.jpg
Stardust V3,1-3-018,Coalossal,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-018_f.jpg
Stardust V3,1-3-019,Pikachu,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-019_f.jpg
Stardust V3,1-3-020,Alakazam,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-020_f.jpg
Stardust V3,1-3-021,Regirock,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-021_f.jpg
Stardust V3,1-3-022,Regice,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-022_f.jpg
Stardust V3,1-3-023,Registeel,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-023_f.jpg
Stardust V3,1-3-024,Great Tusk,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-024_f.jpg
Stardust V3,1-3-025,Haxorus,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-025_f.jpg
Stardust V3,1-3-026,Armarouge,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-026_f.jpg
Stardust V3,1-3-027,Arctibax,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-027_f.jpg
Stardust V3,1-3-028,Pawmo,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-028_f.jpg
Stardust V3,1-3-029,Treecko,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-029_f.jpg
Stardust V3,1-3-030,Grovyle,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-030_f.jpg
Stardust V3,1-3-031,Sceptile,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-031_f.jpg
Stardust V3,1-3-032,Torchic,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-032_f.jpg
Stardust V3,1-3-033,Combusken,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-033_f.jpg
Stardust V3,1-3-034,Blaziken,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-034_f.jpg
Stardust V3,1-3-035,Mudkip,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-035_f.jpg
Stardust V3,1-3-036,Marshtomp,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-036_f.jpg
Stardust V3,1-3-037,Swampert,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-037_f.jpg
Stardust V3,1-3-038,Magby,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-038_f.jpg
Stardust V3,1-3-039,Magmar,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-039_f.jpg
Stardust V3,1-3-040,Magmortar,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-040_f.jpg
Stardust V3,1-3-041,Koffing,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-041_f.jpg
Stardust V3,1-3-042,Galarian Weezing,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-042_f.jpg
Stardust V3,1-3-043,Beldum,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-043_f.jpg
Stardust V3,1-3-044,Metang,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-044_f.jpg
Stardust V3,1-3-045,Metagross,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-045_f.jpg
Stardust V3,1-3-046,Shinx,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-046_f.jpg
Stardust V3,1-3-047,Luxio,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-047_f.jpg
Stardust V3,1-3-048,Luxray,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-048_f.jpg
Stardust V3,1-3-049,Blipbug,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-049_f.jpg
Stardust V3,1-3-050,Dottler,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-050_f.jpg
Stardust V3,1-3-051,Orbeetle,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-051_f.jpg
Stardust V3,1-3-052,Silicobra,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-052_f.jpg
Stardust V3,1-3-053,Sandaconda,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-053_f.jpg
Stardust V3,1-3-054,Rolycoly,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-054_f.jpg
Stardust V3,1-3-055,Carkol,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-055_f.jpg
Stardust V3,1-3-056,Coalossal,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-056_f.jpg
Stardust V3,1-3-057,Mudbray,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-057_f.jpg
Stardust V3,1-3-058,Mudsdale,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-058_f.jpg
Stardust V3,1-3-059,Impidimp,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-059_f.jpg
Stardust V3,1-3-060,Morgrem,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-060_f.jpg
Stardust V3,1-3-061,Grimmsnarl,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-061_f.jpg
Stardust V3,1-3-062,Turtonator,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-062_f.jpg
Stardust V3,1-3-063,Nickit,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-063_f.jpg
Stardust V3,1-3-064,Thievul,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-064_f.jpg
Stardust V3,1-3-065,Duskull,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-065_f.jpg
Stardust V3,1-3-066,Dusclops,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-066_f.jpg
Stardust V3,1-3-067,Dusknoir,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-067_f.jpg
Stardust V3,1-3-068,Axew,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-068_f.jpg
Stardust V3,1-3-069,Fraxure,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/img/ver3/pm_en_1-3-069_f.jpg
